,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_num,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
86,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,32,8,16,14.8979,19.5195,4.62158,0.557125,0.803441,1.36057,20.88,42963,450071,29363,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
87,"['A', 'I']",5,256,32,32,spad,cyclic,True,0,16,32,8,32,21.9971,26.6187,4.62158,0.822846,0.803441,1.62629,28.2449,29089,450071,19457,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
88,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,32,1,16,14.116,18.6836,4.56759,0.527975,0.803441,1.33142,20.015,45335,444208,31613,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
89,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,32,1,32,20.3351,24.9027,4.56759,0.760808,0.803441,1.56425,26.467,31461,444208,21707,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
90,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,32,8,16,14.8992,19.5208,4.62158,0.557281,0.803441,1.36072,20.8815,42951,450071,29353,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
91,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,4,32,8,32,22.002,26.6236,4.62158,0.823186,0.803441,1.62663,28.2502,29077,450071,19447,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
92,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,32,1,16,14.116,18.6836,4.56759,0.527975,0.803441,1.33142,20.015,45335,444208,31613,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
93,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,32,1,32,20.3351,24.9027,4.56759,0.760808,0.803441,1.56425,26.467,31461,444208,21707,53914.5,1153,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,498123
94,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,32,8,16,14.8992,19.5208,4.62158,0.557281,0.803441,1.36072,20.8815,42951,450071,29353,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
95,"['A', 'I']",5,256,32,32,spad,cyclic,True,1,16,32,8,32,22.002,26.6236,4.62158,0.823186,0.803441,1.62663,28.2502,29077,450071,19447,53914.5,1158,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,503986
96,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,32,1,16,14.0435,18.5696,4.52616,0.253659,0.40172,0.655379,19.225,47181,451532,31426,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
97,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,32,1,32,18.7736,23.2998,4.52616,0.339139,0.40172,0.74086,24.0406,35289,451532,21518,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
98,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,32,8,16,14.8113,19.394,4.5827,0.267528,0.40172,0.669249,20.0633,44735,457911,29166,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
99,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,4,32,8,32,20.1717,24.7544,4.5827,0.364397,0.40172,0.766117,25.5206,32843,457911,19258,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
100,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,32,1,16,14.0435,18.5696,4.52616,0.253659,0.40172,0.655379,19.225,47181,451532,31426,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
101,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,32,1,32,18.7736,23.2998,4.52616,0.339139,0.40172,0.74086,24.0406,35289,451532,21518,26957.2,1105,2,32,32,./outputs/mat_inv-gem5-accel,mat_inv,478489
102,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,32,8,16,14.8113,19.394,4.5827,0.267528,0.40172,0.669249,20.0633,44735,457911,29166,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
103,"['A', 'I']",10,256,16,32,spad,cyclic,True,0,16,32,8,32,20.1717,24.7544,4.5827,0.364397,0.40172,0.766117,25.5206,32843,457911,19258,26957.2,1110,2,32,33,./outputs/mat_inv-gem5-accel,mat_inv,484868
