,arrays,cycle_time,dma_chunk_size,factors,mat_size,memory_type,partition,pipelined_dma,ready_mode,spad_ports,unrolling_factor_cols,unrolling_factor_row_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
54,"['A', 'I']",10,256,16,64,spad,block,True,1,16,8,1,4.06778,14.1392,10.0714,0.14608,1.3152,1.46128,15.6005,1268464,830092,527380,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
55,"['A', 'I']",10,256,16,64,spad,block,True,1,16,8,8,4.09764,14.1808,10.0832,0.147147,1.3152,1.46235,15.6432,1259268,831049,518571,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
56,"['A', 'I']",10,256,16,64,spad,block,True,1,16,16,1,4.3774,14.4488,10.0714,0.158603,1.3152,1.4738,15.9226,1168310,830092,441401,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
57,"['A', 'I']",10,256,16,64,spad,block,True,1,16,16,8,4.41229,14.4955,10.0832,0.159861,1.3152,1.47506,15.9706,1159114,831049,432592,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
58,"['A', 'I']",10,256,16,64,spad,block,True,1,16,32,1,4.49508,14.5665,10.0714,0.165553,1.3152,1.48075,16.0473,1119262,830092,398926,87208.4,4167,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,917301
59,"['A', 'I']",10,256,16,64,spad,block,True,1,16,32,8,4.53248,14.6157,10.0832,0.166925,1.3152,1.48213,16.0978,1110066,831049,390117,87208.4,4172,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,918258
60,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,8,1,9.73365,22.7737,13.0401,0.337326,1.3152,1.65253,24.4262,549313,1.19844e+06,371622,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
61,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,8,8,9.89941,22.9512,13.0518,0.343069,1.3152,1.65827,24.6095,540118,1.1994e+06,362994,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
62,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,16,1,16.6777,29.7178,13.0401,0.578027,1.3152,1.89323,31.611,320569,1.19844e+06,208910,87208.4,4209,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.28565e+06
63,"['A', 'I']",10,256,16,64,spad,cyclic,True,1,4,16,8,17.1703,30.2222,13.0518,0.595096,1.3152,1.9103,32.1325,311374,1.1994e+06,200282,87208.4,4214,2,64,48,./outputs/mat_inv-gem5-accel,mat_inv,1.2866e+06
