,arrays,cache_assoc,cache_bandwidth,cache_line_sz,cache_queue_size,cache_size,cycle_time,load_bandwidth,mat_size,memory_type,store_bandwidth,tlb_assoc,tlb_bandwidth,tlb_entries,tlb_max_outstanding_walks,tlb_page_size,unrolling_factor_norm,unrolling_factor_row_sub,unrolling_factor_sub,Avg FU Dynamic Power,Avg FU Power,Avg FU leakage Power,Avg MEM Dynamic Power,Avg MEM Leakage Power,Avg MEM Power,Avg Power,Cycle ,FU Area,Idle FU Cycles,MEM Area,Num of Registers (32-bit),Num of Shifters (32-bit),Num of Single Precision FP Adders,Num of Single Precision FP Multipliers,Running ,Top level function,Total Area
52,"['A', 'I']",4,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.44095,4.19026,0.749308,2.52693,0.661399,3.18833,7.37858,1204988,72478.6,531687,52293.7,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,124772
53,"['A', 'I']",4,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,8,3.45479,4.16193,0.707149,2.91991,1.2845,4.20441,8.36634,1200690,67572.9,527181,94700.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162273
54,"['A', 'I']",4,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.33725,6.08892,0.751674,3.16057,0.356952,3.51752,9.60644,769277,72670,192641,33632.3,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,106302
55,"['A', 'I']",4,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.33637,6.04352,0.707149,3.75899,0.661399,4.42039,10.4639,769416,67572.9,192786,52293.7,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,119867
56,"['A', 'I']",4,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,32,5.36801,6.07516,0.707149,4.34244,1.2845,5.62694,11.7021,765266,67572.9,188529,94700.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162273
57,"['A', 'I']",4,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.90591,6.65759,0.751674,3.49664,0.356952,3.85359,10.5112,695340,72670,134680,33632.3,195,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,106302
58,"['A', 'I']",4,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.90869,6.658,0.749308,4.16133,0.661399,4.82273,11.4807,695025,72478.6,134383,52293.7,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,124772
59,"['A', 'I']",4,4,64,32,32kB,5,1,64,cache,1,0,1,0,4,4096,16,1,64,5.93174,6.63889,0.707149,4.79738,1.2845,6.08188,12.7208,692695,67572.9,132070,94700.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,162273
60,"['A', 'I']",8,4,64,32,8kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.35447,3.06162,0.707149,1.63448,0.406924,2.0414,5.10302,1786092,67572.9,983768,35244.4,194,2,5,4,./outputs/mat_inv-gem5-accel,mat_inv,102817
61,"['A', 'I']",8,4,64,32,16kB,5,1,64,cache,1,0,1,0,4,4096,16,1,4,2.3542,3.1035,0.749308,1.96995,0.709466,2.67941,5.78291,1786298,72478.6,983974,56602.5,194,2,5,5,./outputs/mat_inv-gem5-accel,mat_inv,129081
